Zas,moyenne_pollution
ZAG MONTPELLIER,42.54687378953462
ZAR PERPIGNAN,39.10323573891542
ZAG STRASBOURG,38.88623252316286
ZAR VALLEE-DE-L-ARVE,34.71745102356462
ZAG TOULON,32.81374763674375
ZAG TOULOUSE,31.370475671384284
ZAG PARIS,30.50804569789925
ZAG SAINT-ETIENNE,29.704442259339825
ZR PROVENCE-ALPES-COTE-D-AZUR,29.52072482978068
ZAR PAYS-DE-SAVOIE,28.36575583828834
ZAR BESANCON,27.952372882814057
ZR CORSE,26.942561250201052
ZAG BORDEAUX,26.565197753683755
ZAG AVIGNON,26.418482614024164
ZAG ROUEN,26.2345692413355
ZAG BAYONNE,26.07019774540259
ZAR BREST,25.723352186287105
ZAR LIMOGES,25.274837030587587
ZAR BELFORT-MONTBELIARD,25.11558658203024
ZAG CLERMONT-FERRAND,24.68830753072778
ZAR DIJON,24.543750026479028
ZAR CREIL,24.259322008465308
ZAG GRENOBLE,23.963787684638298
ZAG LYON,23.58294444801806
ZAR CHALON,23.51000001293286
ZAG LILLE,23.296496366524565
ZAR VALLEE-DE-LA-TARANTAISE,23.12897496871933
ZAR VALLEE-DU-RHONE,22.860251502984095
ZAR NIMES,22.670903931855946
ZR OCCITANIE,22.22150202898948
ZAR COTE-D-OPALE,22.118587818032758
ZAG NANCY,21.855300761167495
ZAR AMIENS,21.716035000914736
ZAG NICE,21.669470590422545
ZAG RENNES,21.55216571152659
ZR HAUTS-DE-FRANCE,21.552043848768516
ZR ILE-DE-FRANCE,21.444703383236185
ZAR CAEN,21.30569678517988
ZR NORMANDIE,21.17949054699324
ZAR REIMS,20.736955819855144
ZR CENTRE-VAL-DE-LOIRE,20.632270677033226
ZAR LAVAL,20.619897374592323
ZAG BLDV,20.600889169921476
ZAG MARSEILLE-AIX,20.388594901330496
ZAG METZ,19.818192074894906
ZR GUYANE,19.80287357907259
ZR NOUVELLE-AQUITAINE,19.748960953785314
ZAG TOURS,19.45380524624648
ZR AUVERGNE-RHONE-ALPES,19.31790525289896
ZAR ANGERS-LOIRE,19.25434517369179
ZAG ORLEANS,19.18555790651853
ZR GRAND-EST,19.140246522650216
ZAR ARRAS,18.812306212189124
ZR BOURGOGNE-FRANCHE-COMTE,18.232879506180996
ZR GUADELOUPE,18.209559812253982
ZAR AJACCIO,17.78841751633326
ZAR BLOIS,16.816327682701544
ZR BRETAGNE,16.549091223150874
ZAR BASTIA,16.453999397848072
ZR MARTINIQUE,16.229865105158733
ZAR FORT-DE-FRANCE,15.346170204590926
ZAR LE-HAVRE,14.999396423054467
ZAR LE-MANS,14.941079370606513
ZAG POINTE-A-PITRE,14.640313940025823
ZR MAYOTTE,14.16541952624613
ZR PAYS-DE-LA-LOIRE,13.881223504688444
ZAG NANTES-SAINT-NAZAIRE,13.220854719104954
ZR LA REUNION,9.620525762196511
ZAR VOLCAN,9.408854155970316
ZAR SAINT-DENIS,8.026103743071051
ZAR ILE-DE-CAYENNE,5.142617457076118
